,No.,Nombre común,Common name,,Nombre científico,Forma biológica/ Tipo de crecimiento,,Medidas (m),,,Follaje,,,Floración,,,Fruto (maduro),,,Tronco o tallo,,Hábitat,,Agua,Tasa de crecimiento,Persistencia de la hoja,Distribución Natural,Ecología,Usos,Observaciones,Mantenimiento general,,,,,,,,,,
,,https://www.palmcentre.co.uk/products/wro/washingtonia-robusta-mexican-fan-palm,http://www.palmerasyjardines.com/index.php/es/palmeras/guia-especies/details/28/80-washingtonia-robusta,https://www.jardineriakuka.com/palmeras/4862-washingtonia-robusta.html,http://www.plantasmallorca.com/site/es/palmeras/90-washingtonia-washingtonia-robusta.html,http://www.photomazza.com/?Washingtonia-robusta&lang=es,,http://www.llifle.com/Encyclopedia/PALMS_AND_CYCADS/Family/Arecaceae/24753/Washingtonia_robusta,https://selectree.calpoly.edu/tree-detail/washingtonia-robusta,http://fichas.infojardin.com/palmeras/washingtonia-robusta-wachintona-palma-mexicana-pichardia.htm,http://fichas.infojardin.com/palmeras/washingtonia-filifera-wachintona-pritchardia-palma-california-californiana.htm,,http://www.conafor.gob.mx:8080/documentos/docs/13/1015Washingtonia%20robusta.pdf,http://www.jornada.unam.mx/2009/03/30/eco-f.html,http://hort.ufl.edu/trees/WASROBA.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,"Mimbre, falso sauce, jano, sauce del desierto (1)","Desert willow, California orchid tree, desert catalpa, bow willow",Bignoniaceae,Chilopsis linearis,Árbol chico,Redondeado,3.00 a 10.00 m,2.00 a 9.00 m,0.3 m,"Simples, coriaceas, alargadas, delgadas, lineales",Entero,Verde oscuro,"Con forma de trompeta (con aroma), perfectas",Rosa a lavanda,Abril-agosto,"Vaina delgada alargada, es una cápsula de dos celdas de 6 mm de diámetro y de 10-30 cm de longitud. ",Marrón,Octubre-diciembre,Verde claro o gris claro,Liso: Suave cuando es joven pero desarrolla fisuras ásperas a medida que envejece (presenta lenticelas). Exfoliante,"Desiertos, laderas, praderas, matorral. Suelos en su mayoría de arenosos a grava de aluvión. ",Pleno sol a sombra parcial,Bajo a moderado (tolerante a sequía),"Moderado a lento (60-90 cm por año, dependiendo el riego)",Caducifolio. Generalmente en invierno (Dic-abril/marzo),"Originario de California, Texas y México.","Atrae colibríes y aves en general.
Provee de sitios de anidación. 
Es refugio de vida silvestre.","Sirve de ornato, cortina para tapar vistas no deseables, cortinas rompe vientos, ruido; en entornos ribereños o de jardín nativo es ideal para sombrear paredes calientes y proporcionar sombra filtrada en patios. ",Es susceptible a la pudrición de la raíz si el drenaje es pobre. Produce suelo rico en materia orgánica por acumulación de sus frutos y flores. . , Plante en cualquier suelo bien drenado. Cubra cada planta con una generosa pila de paja limpia o agujas de pino. Esto permite que la corona de la planta (unión de la raíz y las ramas) madure y obtenga la máxima resistencia al frío. El agua suplementaria acelera el crecimiento., Puede ser podado para hacer un efecto de sauce llorón.,"Poco: Solo riego profundo ocasional en las raíces. Riegue profundamente una vez a la semana el primer año, luego con menos frecuencia. Permita que se seque después de regar.","Poco contenido orgánico, se puede abonar con fertilizante mineral rico en nitrógeno hacia los inicios del verano.",Susceptibilidad al marchitamiento por Verticillium (hongo). Libre de plagas y enfermedades graves. Susceptible a Root Rot (podedumbre de raiz).,"Cerdidium floridum, , Acacia greggii, Dalea spinosa, Prosopis spp., Baccharis sarothroides, Celtis reticulata, Rhus microphylla, Juglans major, Fraxinus velutina, Bricckellia lacinata, Digitaria californica y Condalia lycoides. ","Semillas, esquejes","Verificar que las raices no estén enrolladas en la 1ra macetera, preparar el suelo para el drenaje, revisar las raíces y esperar a que el clima sea más frío","Profundas: Pivotante, no muy ramificada, no invasiva",LC (Menor preocupación),
,,1. https://www.laspilitas.com/nature-of-california/plants/195--chilopsis-linearis,https://selectree.calpoly.edu/tree-detail/chilopsis-linearis,https://www.highcountrygardens.com/perennial-plants/shrubs/chilopsis-linearis-monhews,https://gardenoracle.com/images/chilopsis-linearis.html,https://www.wildflower.org/plants/result.php?id_plant=chli2,http://edis.ifas.ufl.edu/st159,https://www.wildflower.org/expert/show.php?id=7648,http://www.consultaplantas.com/index.php/plantas-por-nombre/plantas-de-la-a-a-la-c/203-cuidados-de-la-planta-chilopsis-linearis-o-sauce-del-desierto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,"Ayal, chookari, cirian, cuatecomate, árbol de tocomate, comate, cuate, jícara, morro del llano, guajito sìrial, guiro",Jícaro,Bignoniaceae,Crescentia alata,Árbol ,"Abierta, irregular",De 4.00-8.00 m (hasta 14.00 m), Crecimiento indefinido (CONAFOR),00.30 m (hasta 00.60 m) Dap,"Hojas fasciculadas, simples y compuestas en el mismo fascículo. Hojas compuestas trifolioladas (raras veces con 5 folíolos), los folíolos sésiles de 1-5 x 0,5-1,2 cm, oblanceolados; las simples de 1,9-3,5 x 0,5-1,5 cm. ",Entero,Verde claro,Cauliflora con una o dos flores nacidas en ramas más largas o en el tronco,"Amarillo verdoso y morado café, en ocasiones son de color rosa púrpura","Junio a octubre (diciembre) (Valverde, 2019).","Casi esférico, pegados al tallo solo o en grupos de 2 y 3 frutos, 15 cm de diámetro, pulpa negruzca y dulzona",Verde claro,Julio -noviembre,Café claro a oscuro,"Rugoso: Externa fisurada con grietas o hendiduras cortas, longitudinales, de bordes muy rectos, muy conspicuos","Prospera en áreas abiertas tipo sabana, propio de tierras planas bajas, cañadas, en las selvas bajas subcaducifolias que bordean los lechos secos de arroyos y en las selvas bajas caducifolias que cubren las serranías. 
",Pleno sol,Bajo. Tolerante a sequías.,Lento,"Semiaducifolio (marzo-mayo). Mantiene un 25% del follaje (Valverde, 2019).",México, Se acercan los murciélagos de la especie Glossophaga soricina. Parasitismo floral por abejas (Partamona bilineata y Trigona fulviventris). Las abejas remueven aproximadamente 40% de la producción total de néctar antes de la llegada del polinizador (murciélago). El robo de polen afecta la fecundidad de la planta. Se ha observado que los caballos domésticos aplastan la fruta con sus pezuñas y comen la pulpa y las semillas (lo que sugiere que pueden servir como vectores de distribución de semillas),"Sombra/refugio, ornato,  cerca viva en los agrohábitats, artesanal, combustible, construcción, forrajero, implementos de trabajo, medicinal. También es cultivada por sus frutos como la calabaza, que puede ser vaciada y que se secan y se utilizan como recipientes para alimentos y bebidas.
",Resistente a sequía y fuego. Tolerante a inundación temporal y suelos con mal drenaje. La pulpa del fruto es toxica para el ganado y algunas aves. Esta especie ocupa el sexto lugar por su diversidad e intensidad de usos y el décimo lugar entre las especies de mayor uso tradicional en la selva baja caducifolia.,Prospera bien en todo tipo de suelo agrícola.  No prospera en suelos arenosos y degradados.,No necesita mucho cuidado (especie silvestre),Poco: Regar cada 15 días,"El enraizamiento puede ser acelerado mediante el mantenimiento constante de
humedad y de baja temperatura, también se pueden aplicar reguladores del crecimiento y aplicación de calor en el sustrato. Es importante trabajar con sustrato compuesto de una mezcla de perlita y musgo turboso o de perlita y vermiculita. "," Daño por insectos. El escarabajo Oedionychus sp. es un defoliador de hojas tiernas, Eulepte sp. anida y se alimenta de las hojas. También existe depredación del néctar de las flores por las abejas Partamona bilineata y Trigona fulviventris afecta la fecundidad de las plantas"," Curatella mexicana, Byrsonima crassifolia, Mimosa sp., Amphypterigium sp., Plumeria sp., Eysenbeckia sp., Lonchocarpus sp., Jatropha sp., Sabal mexicana.
","Semillas, estacas o esquejes",Trasplante una vez que la raíz se encuentre bien desarrollada y exista la presencia de hojas.,Profundas,LC (Menor preocupación),
,,http://www.medicinatradicionalmexicana.unam.mx/flora2.php?l=4&t=ayal&po=&id=5126&clave_region=12,http://www.conabio.gob.mx/conocimiento/info_especies/arboles/doctos/10-bigno1m.pdf,https://www.cofupro.org.mx/cofupro/archivo/fondo_sectorial/Morelos/197morelos.pdf,https://lugares.inah.gob.mx/museos-inah/museo/museo-piezas/12938-12938-cirian.html?lugar_id=389,http://plantas.facilisimo.com/arbol-de-jicaro-sus-mil-usos_802666.html,file:///C:/Users/ruth_/OneDrive/Im%C3%A1genes/37210-Article%20Text-123801-2-10-20190513.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,"Amapa, pata de león, roble serrano, cortez blanco","Golden trumpet tree, golden tabebuia",Bignoniaceae,Tabebuia chrysantha (Handroanthus chrysanthus),Árbol,Irregular,"15.00 - 24.00 m (natural), cultivado 5.00 - 8.00 m",Hasta 18.00 m,Hasta 0.60 m,"Hojas digitado compuestas (los foliolos nacen de un mismo punto), foliolos enteros, lanceolados o elípticos, ápice acuminado, base redondeada (6).",Aserrado,Verde oscuro,Forma de trompeta,Amarillo brillante,"Enero, febrero, marzo y abril",Vaina dehiscente.,Marrón,Mayo a junio,Marrón grisáceo,"Rugoso, agrietado",Es abundante en las selvas medianas subcaducifolias y también se presenta en vegetación secundaria. Se le encuentra en los valles de las tierras bajas hacia las zonas de los pies de las montañas (CONAFOR),Pleno sol,Bajo a moderado,Lento,Caducifolio,Es originaria de América tropical desde México a través de Centroamérica hasta Colombia y Venezuela (CONAFOR).,"Abejorros, abejas, avispas y colibríes están involucrados en la polinización (CONAFOR).","Es una de las maderas más duras y pesadas en los trópicos, por lo que es difícil de cepillar y cortar. Tiene la
ventaja de ser muy durable y resistente a las termitas y al agua salada. Por ello se utiliza en la construcción de
muebles, carrocerías, pisos para uso industrial, durmientes, artesanías finas, ensambles y mangos para
herramientas.",Crece bien en suelos arenosos y es bastante tolerante al rocío de sal,"Plante este árbol en un lugar soleado y espacioso donde pueda desarrollar su hábito más impresionante. Plante en primavera u otoño en cualquier tipo de suelo, siempre que drene bien. No es exigente en suelos, pero deben tener buen drenaje interno y externo."," Se tienen que eliminar las ramas secas, débiles y enfermas en otoño. Los deshierbes son muy necesarios, sobre todo en la época de lluvias.",Alto: Se debe regar cada tercer día y en época de lluvias cuando sea necesario. ,"Desde primavera hasta verano se debe abonar con abonos orgánicos, como humus de lombriz o estiércol de caballo.","Se reportan daños a las semillas por gorgojos (Amblycerus sp.). Susceptible a la mancha y la muerte regresiva, y los ácaros son un problema. El principal problema es con especies de hormigas (como Formica spp. y Atta spp.) y de termitas (Neotermes castaneus). Se controlan con clordano y heptacloro. En cuanto a enfermedades puede haber problemas con hongos del género Sclerotium, que causan necrosis y damping-off. El control es a base de Manzate 200 y Arribo. ","Tabebuia chrysotricha, Tabebuia impetiginosa, Bougainvillea species, Verbena x hybrida, Lantana montevidensis ",Semilla," Desde el momento en que la planta se transplanta a la bolsa de polietileno, no deben pasar más de 6 meses para llevarla al sitio de plantación. Deberá tener una altura de 25 a 40 cm, aunque en viveros con alta tecnología (ambiente controlado, contenedores de poliestireno) la altura de la planta será de más de 40 cm. ",Superficiales:  las raíces superficiales generalmente no son un problema,-,
,,http://bios.conabio.gob.mx/especies/6032913.pdf,http://treeworldwholesale.com/es/arboles/150-tabebuia-chrysantha-syn-handroanthus-chrysanthus.html,http://www.thegardengeeks.com/home/index.php?option=com_sobi2&sobi2Task=sobi2Details&catid=6&sobi2Id=2395&Itemid=132,https://www.gardentags.com/plant-encyclopedia/tabebuia-chrysantha/22697,https://www.desertmuseum.org/programs/alamos_trees_tabchr.php,6. https://www.naturalista.mx/taxa/146956-Tabebuia-chrysantha,https://www.cnseed.org/tabebuia-chrysantha-seeds-golden-trumpet-tree.html,http://www.conafor.gob.mx:8080/documentos/docs/13/1006Tabebuia%20chrysantha.pdf,http://www.conafor.gob.mx:8080/documentos/docs/13/1006Tabebuia%20chrysantha.pdf,https://www.landdesignpublishing.com/docs/LPCG%20Sections%201-3.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,"Lapacho rosado, cortez negro","Purple trumpet tree, pink trumpet tree", Bignoniaceae,Tabebuia impetiginosa (Handroanthus impetiginosus),Árbol,Semiglobosa,"9.00-12.00 m cultivado, 20.00-25.00 m en lugares de origen",9.00-10.00 m,Hasta 0.80 m Dap,"Palmaticompuestas. Las hojas se presentan opuestas y pecioladas. Muestran por lo general 5 folíolos, aunque a veces llegan a 7; éstos son elípticos y lanceolados, de 5 a 6 cm × 4 a 9 cm ",A veces entero pero generalmente crenado o aserrado en su mitad o en el tercio superior,Verde oscuro,"Tubulares, acampanadas en racimos",Rosa a magenta con la garganta amarillo,"Las flores aparecen en el hemisferio sur entre julio y septiembre, antes del rebrote. En el hemisferio norte, desde México hasta Colombia la flor brota entre los meses de enero y febrero.","El fruto es una cápsula cilíndrica y estrecha, dehiscente, que contiene numerosas semillas aladas.",Café oscuro,Junio-diciembre (verano-otoño),Gris claro a café ,"Lisa cuando joven, tornándose agrietada y con hendiduras longitudinales con el paso de los años",Selva baja caducifolia,Pleno sol,Bajo,Moderado,Caducifolio,"Nativa de Sudamérica, donde crece desde el Paraguay, Bolivia, Perú, Ecuador, Colombia y el norte de Argentina hasta México.","Es una fuente de néctar importante para abejas, se han observado hasta 33 especies alimentándose de sus flores (1).
Atrae colibríes y mariposas.","Valor de uso silvestre, ornamental, vigas estructurales y cubiertas al aire libre. La corteza interna se utiliza en preparaciones de hierbas medicinales, uso para fabricar muebles, artesanias, para detener la erosión.","Suele confundirse con Maquilishuat (Tabebuia rosea). Se cree que puede curar el impétigo, por ello lleva su nombre.
Tarda varios años en florecer. Son proterantes (florece antes de que se presencien las hojas)", El riego profundo se recomienda desde la primavera hasta el otoño para mantener el mejor rendimiento de floración y ayudar a mantener un buen carácter del follaje., Esporádicas podas formativas. La poda mejora la apariencia de la planta y se tolera bien. Pode despues de la floración,El riego puede tener una frecuencia de 2 o bien 3 veces semanales. Después del primer año regar muy poco o dejar que se mantenga con el agua de la lluvia . ,Comience a fertilizar después de que emergen las nuevas hojas. No fertilice durante el invierno,"No susceptible, muy resistente a plagas (La corteza de este árbol contiene unos compuestos llamados naftaquinonas que son sumamente efectivas combatiendo los hongos)","Lagerstroemia indica, Tabebuia impetiginosa, Lavatera maritima, Osmanthus fragrans, Rhaphiolepis indica, Rosa floribunda ‘Iceberg’, Armeria maritima, Dianella revoluta ‘Little Rev’, Dianella tasmanica ‘Variegata’, Dietes bicolor,Dietes grandiflora,   Erigeron karvinskianus, Phormium ‘Jack Sprat’, Cerastium tomentosum, Clytostoma callistegioides, Jasminum polyanthum, Rosa floribunda ‘Floral Carpet’, Trachelospermum jasminoides.",Se pueden multiplicar por esquejes en verano o por semillas o acodos en primavera.,"Mediante una pala de punta se abre un hoyo de 20 centímetros de diámetro y 30 de profundidad, La tierra que se saca de la superficie, servirá a la planta como relleno de plantación. Seguidamente se puede utilizar abono descompuesto como fertilizante. ","Profunda: Pivotante, no invasiva",LC (Menor preocupación),
,,https://inlandvalleygardenplanner.org/plants/tabebuia-impetiginosa/,http://treeworldwholesale.com/es/arbol-de-tamano-mediano/133-tabebuia-impetiginosa-syn-handroanthus-impetiginosus.html,http://vivero-san-andres.blogspot.com/2017/12/bondades-del-cortez-negro-tabebuia.html,https://www.smgrowers.com/info/tabebuiaimpet.asp,https://www.arbolesornamentales.es/Tabebuia%20impetiginosa.pdf,https://www.naturalista.mx/taxa/281274-Handroanthus-impetiginosus,http://www.onlineplantguide.com/Plant-Details/4658/,http://www.verdeden.com/verdeden-agronomos-paisajistas/plog/arbol-vino-la-expo-92-tabebuia-spp/,http://www.jardinbotanico.uma.es/bbdd/index.php/bu-15-07/,https://www.rareflora.com/tabebuiaimp.html,,http://www.infojardin.net/fichas/plantas-medicinales/tabebuia-impetiginosa.htm,https://conocesobre.com/todosobrejardineria/lapacho-rosado-ficha-tecnica-y-cuidados/,http://www.abc.com.py/edicion-impresa/economia/campana-para-sembrar-un-lapacho-295371.html,https://elmundoysusplantas.blogspot.com/2013/10/lapacho-rosado-ficha-y-fotos.html#.W3Mx-yRKjIU,http://www.ayto-murcia.es/medio-ambiente/parquesyjardines/material/Arbol_mes_2013/2013_03_Tabebuia%20impetiginosa.pdf,https://inlandvalleygardenplanner.org/garden-styles/crape-myrtle/,1. Schlindwein et.al. 2014. Visual signalling of nectar-offering flowers and specific morphological traits favour robust bee pollinators in the mass-flowering tree Handroanthus impetiginosus (Bignoniaceae). https://academic.oup.com/botlinnean/article/176/3/396/2416444,,,,,,,,,,,,,,,,,,,,,,
,R,"Palo de asta, amapa bola, amapa blanca",Flagpole tree,Boraginaceae,Cordia sonorae,Árbol,Abierta,4.00-6.00 m,1.00-3.00 m,0.10-0.20 m,"Simples, alternas, glabras, elipticas a oblongas de 1.5 a 4.5 cm de ancho y de 5 a 11 cm de largo",Entero,Verde oscuro,Forma de embudo,Blancas,Enero -marzo/mayo,"Fruta cerrada, con valvas, pubescente, en pequeños racimos",Verde blancuzco a gris,Marzo-abril,Gris,Ligeramente fisurada,"Cimas densas, pendientes, arroyos, bajadas, cañones",Pleno sol a sombra parcial,Moderado,Rápido,Caducifolio (Pierde la hojas cuando las flores están en plena floración),"Sonora, Mexico","Las flores atraen polinizadores, son particularmente atractivas para colibríes y abejas nativas.",Los Mayos lo usan por su madera resistente y sin astillas para herramientas y vigas. Tambien para hacer astas por su madera resistente. Muy utilizada en el paisajismo,"La diseminación de las semillas es similar a un paracaídas, con la flor seca y la fruta cerrada, es única entre los árboles de Sonora.","Si el terreno presenta problemas de malezas se recomienda realizar deshierbes manuales o mecánicos dependiendo de las condiciones del terreno. Si éste presenta pendientes mayores a 12%, para evitar la erosión del suelo se recomienda remover la vegetación solamente en los sitios donde se sembrarán las plantas, en franjas o alrededor de las cepas. Esta actividad podrá realizarse por medio de chapear la vegetación con machetes, o retirarla manualmente ",Solo si se requiere para dar forma,"Abundantes pero sin excesos, teniendo cuidado de no estancar el agua. Reducir en invierno"," Fertilidad adecuada, libre de sales y materia orgánica no mineralizada. ",A veces se presentan daños por Pterophylla beltrani,"Agaves, yucas, áloes, suculentas, cactáceas","Semillas, esquejes, estacas","Por lo menos un mes antes de su traslado al sitio de plantación se deberá iniciar el proceso de endurecimiento de las plantas, éste consiste en suspender la fertilización, las plantas deberán estar a insolación total, y los riegos se aplicarán alternadamente entre someros y a saturación, además de retirarlos durante uno o dos días. Esto favorecerá que las plantas presenten crecimiento leñoso en el tallo y ramas",Profundas,,
,,https://www.desertmuseum.org/programs/alamos_trees_corson.php,http://www.elpedregalmexico.com/uploads/pdf%20files/El%20Pedregal%20Tree%20List.pdf,"Turner, Raymond M, et al. Plantas del desierto sonorense: un atlas ecológico.  Prensa de la Universidad de Arizona, 1995",https://books.google.com.mx/books?id=tvk5FN3L-Q0C&pg=PA88&lpg=PA88&dq=cordia+sonorae&source=bl&ots=7UMjVJJZ1X&sig=cKeIH4OMAcQpnsGIepW1f0WA5sQ&hl=es&sa=X&ved=2ahUKEwih_t2-2-bdAhUNQ6wKHXZFAUQ4ChDoATAGegQIBRAB#v=onepage&q&f=true,http://swbiodiversity.org/seinet/taxa/index.php?tid=26899&taxauthid=1&clid=0#,https://books.google.com.mx/books?id=8USYsnSG9a8C&pg=PA185&lpg=PA185&dq=cordia+sonorae+fruit+season&source=bl&ots=s7PBwJy9QT&sig=wlOBouWct3qgoo7uo0aq_x_53ws&hl=es&sa=X&ved=2ahUKEwi2wu3T6ubdAhVLOKwKHQL3Cu8Q6AEwAnoECAcQAQ#v=onepage&q=cordia%20sonorae%20fruit%20season&f=true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,"Torote prieto, copal, palo mulato, torote papelío",Torote prieto,Burseraceae,Bursera laxiflora,Arbusto o árbol pequeño,Globoso,6.00 - 10.00 m,6.00 m,0.4 m,"Compuestas (pinadas o bipinadas), ovadas a oblongas",Profundamente crenado,Verde claro,Pedúnculos delgados (inconspicuo),Amarillas a blancas,Agosto-diciembre (inicio de la temporada de lluvias),Drupa de dos valvas de 1 cm de largo,"Rojo si està tierna, lila cuando està sazona",Septiembre- marzo,Rojo oscuro,Liso,Cerros gravosos y rocosos,Pleno sol a muy poca sombra.,Bajo,"Depende del espacio. Cuando éste es generoso, crece rápido. En una maceta, es lento.",Caducifolio,"Suroeste de Estados Unidos, y Norte de México, principalmente en la parte oeste de Sonora","A lo largo de la costa, al sur de Tastiota, ardillas sonorenses (Eutamias dorsalis) abren las frutas y se alimentan de sus semillas y arilos.","Ornamental, inciensos, mirra, uso medicinal en enfermedades como: bronquitis, calentura, resfriado, dolor de garganta,​ picaduras de alacrán o viuda negra.  
 
","Se desarrolla bien en terrenos pedregosos, su desarrollo óptimo se da en suelos con buen drenaje. Puede utilizarse para la formación de bonsais. ","Podar para dar forma. Esto es importante si se quiere mantener en forma de bonsai. Tan pronto como las nuevas ramas tengan unas cuantas pulgadas, cortar de modo que queden pocas hojas. Si lo prefiere, podar a que queden ramas mas largas para una planta mas espaciosa.","Tolera bien la poda, siendo su mejor época en otoño, que queda sin hojas. El pinzado debe comenzarse en la primera semana de primavera, lo que permite reducir exitosamente el tamaño foliar.",Reducir riego a una vez cada mes durante el invierno,"NPK, micronutrientes.", Susceptible a: pudrición de raíces,"Prosopis sp., Parkinsonia sp., cactaceas",Semilla,"En caso de cambio de maceta, hacerlo sólo en verano.","Profundas: Gruesa, no superficial, poco probable que cause algún daño a banquetas o pavimentos",,
,,http://www.medicinatradicionalmexicana.unam.mx/flora2.php?l=4&po=seri&te=Torote_prieto&id=5292&clave_region=7,"The Trees of Sonora, Mexico
 By Tucson Richard Stephen Felger Executive Director Drylands Institute, AZ, University of Arizona Matthew Brian Johnson Program Manager and Curator Desert Legume Program, Tucson Michael Francis Wilson Research Director Drylands Institute, A",http://archivo.infojardin.com/tema/bonsai-de-copal-y-guia-de-cuidados.141187/,"Turner R.M., J. E. Bowers, and T. L. Burgess. 2005. Sonoran Desert Plants: An Ecological Atlas. University of Arizona Press: Tucson, AZ",https://www.desertmuseum.org/visit/sheets/Burlax.pdf,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-71512010000200006,https://books.google.com.mx/books?id=IbKmK2_Tn74C&pg=PA127&lpg=PA127&dq=bursera+laxiflora+fruit&source=bl&ots=Z1zq3A38Pp&sig=8RlY76026mPAt7tQUV0dol3g9bY&hl=es&sa=X&ved=2ahUKEwj2sqvTsLTdAhUBna0KHbLgBQQQ6AEwC3oECAQQAQ#v=onepage&q=bursera%20laxiflora%20fruit&f=true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,"Cuajiote, torote colorado, torote blanco, copal, jarilla","Elephant tree, little elephant tree, littleleaf elephant tree ",Burseraceae,Bursera microphylla,Arbusto o árbol,Abierta a semiglobosa,2.00-8.00 m,2.00-6.00 m,0.3 m (Pie),"Compuestas,  pinadas, ovales alargados, glabra",Foliolo entero,Verde oscuro,Racimos de 8 flores aprox. (4 mm L). Flor en forma de estrella. Pétalos extendidos o reflejados ,Blanco o crema,Junio-septiembre (cuando no hay hojas),Drupa (parecido a aceituna),Guinda,Junio-octubre,Gris claro y blanco. Ramas más jovenes de color rojizo,Lisa. Corteza de papel exfoliante.," Climas semicálido, semiseco y seco entre los l0 y los 1500msnm. Zonas planas, asociada a vegetación perturbada de bosque tropical caducifolio, matorral xerófilo y bosque de encino.

",Pleno sol.,Bajo. Extremadamente tolerante a la sequía.,Muy lento,Semicaducifolio (septiembre-diciembre),"Norte de Mèxico (Baja California Sur, Baja California, Sonora, Sinaloa y Zacatecas) y Sudoeste de Estados Unidos (sur de California y Arizona)","Las drupas son una fuente importante de alimento para las aves y roedores a lo largo del invierno y primavera. Los frutos son atractivos para muchos insectos, pequeños mamíferos y aves, especialmente el papamoscas ceniciento y el Vireo gris.","Curación de heridas (corteza, goma y hojas), dolor de estómago, constipación, dolor de pecho, dolores de cabeza, enfermedades veneras y de pulmón, infecciones de la garganta y picaduras de mantarraya. Los Seris (Conca'Ac) suelen masticar el fruto amargo para quitar la sed. Tiene aceites esenciales que se utilizan como inciensos, la madera blanda se usa para hacer botes, y la savia para sellar rajaduras del mismo. Pintura de cara, ejercicios de fuego. Los Yaquis hacen máscaras con la madera","Si se planta en el suelo en un jardín desértico, se puede combinar con muchos arbustos, hierbas y cactus nativos del desierto. Todas las partes de la planta contienen una savia clara, aromática y pegajosa","Por su naturaleza crasa son preferibles los sustratos calcáreos, bastante pedregosos, bien drenados y de origen volcánico o sedimentario muy delgados. El pH ideal de cultivo para este árbol es de ácido a ligeramente alcalino, con valores de entre 8 y 6.5.","Tolera bien la poda, siendo su mejor época en otoño, que queda sin hojas. El pinzado debe comenzarse en la primera semana de primavera, lo que permite reducir exitosamente el tamaño foliar.","Necesita agua regular cuando la planta tiene hojas, contrariamente a la creencia popular, le gusta mucha agua en los veranos cálidos para fomentar un crecimiento más rápido, siempre que se siembre en un suelo muy bien drenado. ","Abono de descomposición lenta cada 30 días, de junio a septiembre, y complementar con abono líquido diluido a la mitad de la cantidad recomendada por el fabricante de abril a junio, cada 20 días.","Aphids, Mealybugs. Existen algunos coleopteros como Xylosandrus morigerus (Blandford) pero no tienen importancia. ","Se puede combinar con muchos arbustos, hierbas y cactus nativos del desierto de California y Baja California. ",Semilla o esquejes de la punta del tallo," Puede crecer en un contenedor casi indefinidamente. Prefieren la luz brillante, una mezcla rica y bien drenada del suelo y el riego regular",No muy profundas: Gruesas y carnosas,,
,, http://www.medicinatradicionalmexicana.unam.mx/flora2.php?l=4&po=seri&te=Torote_prieto&id=5292&clave_region=7,https://books.google.com.mx/books?id=2_YXlFAj458C&pg=PA67&lpg=PA67&dq=bursera+laxiflora+common+name&source=bl&ots=Z0-HrvlpXV&sig=Usj0Ko_Cd6QATxsqjbDlW4jtvyQ&hl=es&sa=X&ved=0ahUKEwjd7JaJ9JrbAhVQgK0KHYeGAGQQ6AEIdTAO#v=onepage&q=bursera%20laxiflora%20common%20name&f=false,http://www.lasecomujeres.org/plants/ucbee_2015/feb2015_e.html,http://www.naturalista.mx/taxa/68186-Bursera-microphylla,http://calscape.org/Bursera-microphylla-(Elephant-Tree),https://www.shootgardening.co.uk/plant/bursera-microphylla,http://tchester.org/bd/species/burseraceae/bursera_microphylla.html,http://www.lasecomujeres.org/files/mesa_rincon_viewweb_esp.pdf,http://www.infojardin.com/jardineria/bonsais/index-91.html,http://sacredsucculents.com/other-succulents-and-xerophytes/,,http://www.llifle.com/Encyclopedia/TREES/Family/Burseraceae/28407/Bursera_microphylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,
